2023-06-02 13:23:25,118 - File resume_68.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,160 - File resume_69.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,172 - File resume_7.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,186 - File resume_70.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,222 - File resume_71.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,379 - File resume_72.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,408 - File resume_73.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,443 - File resume_74.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,479 - File resume_75.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,499 - File resume_76.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,519 - File resume_77.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,527 - File resume_78.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,549 - File resume_79.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,575 - File resume_8.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,621 - File resume_80.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,652 - File resume_81.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,663 - File resume_82.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,682 - File resume_83.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,700 - File resume_84.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,727 - File resume_85.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,758 - File resume_86.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,774 - File resume_87.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,792 - File resume_88.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,952 - File resume_89.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:25,995 - File resume_9.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,058 - File resume_90.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,094 - File resume_91.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,119 - File resume_92.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,177 - File resume_93.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,203 - File resume_94.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,227 - File resume_95.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,293 - File resume_96.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,319 - File resume_97.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,345 - File resume_98.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:26,369 - File resume_99.pdf is in pdf format, converted to TXT, and moved to text_resumes
